name,prediction,confidence,critic_score,critic_grade,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,key_concern,would_rerun_help
brian cordel,same,high,12,QUESTIONABLE,pass,pass,weak,fail,fail,pass,pass,weak,fail,pass,"The disambiguator treats the district website confirmation as Tier 1 evidence, but a district bio only confirming current position (without mentioning prior district) is Tier 3. There is NO source that explicitly connects Brian Cordel's employment between New Franklin R-I and Marais Des Cygnes Valley - no hiring announcement mentioning prior district, no transition news, no LinkedIn profile showing career history. The conclusion that these are the same person relies entirely on timeline inference and name matching, not documented career progression.",True
brian metcalf,same,high,9,SUSPECT,pass,pass,weak,fail,fail,pass,pass,fail,fail,fail,No evidence explicitly connects the two positions. The sources confirm each position independently but don't demonstrate the SAME person held both roles. High confidence is based on two independent confirmations rather than actual corroboration of identity.,True
brian metcalf,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None significant. This is a well-reasoned case with strong, multi-source corroboration.",False
brian metcalf,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,weak,pass,pass,"The reasoning correctly identifies that both positions refer to the same Dr. Brian Metcalf, but there is a significant unexplained discrepancy: Position 1 input data lists dates 2011-2012 and 2014-2015, yet all evidence shows he served as superintendent until his termination in 2020. The evidence clearly supports the 2020 date, but the reasoning should acknowledge this mismatch with the input data rather than presenting it as if the dates align perfectly.",False
brian osborne,same,high,19,CONFIRMED,pass,pass,pass,weak,pass,pass,pass,pass,pass,pass,"The HuffPost author page URL is mischaracterized as a Tier 1 professional profile confirming career history. While this doesn't invalidate the strong evidence from the other two sources, it represents a minor evidence classification error. The two legitimate Tier 1 sources (press release and transition coverage) are sufficient to support the high confidence conclusion.",False
brian pekarek,same,high,12,QUESTIONABLE,pass,pass,weak,weak,weak,pass,fail,weak,weak,weak,"The Daily Yonder article is dated July 2025, which is in the future relative to the 2024 position. This indicates a serious evidence quality issue—either a fetching error, incorrect URL, or date confusion. Additionally, there is no direct evidence bridging the 4-5 year gap between Albany (2019-2020) and Palco (2024), leaving the connection inferred rather than proven.",True
brian shumate,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,weak,"Minor timeline discrepancy: Position 1 is listed as 2013-2017, but evidence shows Brian Shumate served as Medford superintendent through 2019. The evidence indicates continuous service (Medford 2014-2019, Troup County 2019-2023) with no gap, but the position dates suggest a 2017-2019 break. This doesn't invalidate the identification but represents an inconsistency between the position description and the supporting evidence.",False
broadus davis,same,high,11,QUESTIONABLE,pass,pass,weak,fail,fail,weak,pass,pass,fail,weak,"The key concern is the absence of any Tier 1 evidence (LinkedIn career history, hiring announcements, transition news) that would directly confirm Dr. Broadus W. Davis worked at both districts as part of a continuous career. The evidence shows he was at Bristol Borough AND at Franklin Township, but relies on circumstantial inference rather than explicit documentation linking these roles. This is particularly problematic because the middle initial 'W.' is not definitively verified at the Franklin Township position.",True
bruce borchers,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"None significant. The reasoning is sound with strong Tier 1 evidence directly documenting the 2013 transition between districts. The only minor gap is explicit documentation of the search methodology phases, but this doesn't undermine the conclusion.",False
bruce watson,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"No significant concerns identified. The disambiguation is well-supported with multiple independent Tier 1-2 sources that explicitly document Bruce Watson's career trajectory from Onteora to Glen Rock, including specific dates and context about his retirement from Fair Lawn.",False
bruce watson,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,weak,"The reasoning relies heavily on a claim that Watson retired from Fair Lawn Schools in 2016 after 24 years, but none of the 7 provided URLs directly verify this critical career anchor point. While the evidence strongly supports the Onteora and Rockaway Township connections, the Fair Lakes claim appears to be inferred rather than directly documented.",True
bruce watson,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None. This is a well-reasoned disambiguation with strong evidence.,False
bryan mcgraw,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None. This is a well-executed disambiguation with strong, corroborating Tier 1 evidence.",False
cafer cengiz,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,pass,weak,pass,pass,pass,"Minor concern: One source mentions 'Cafer (Adam) Cengiz' with a middle name that doesn't appear in other records, and the Concept Schools network documentation is mentioned but no URL provided. However, these are minor issues that don't undermine the strong evidence from two Tier 1 sources that explicitly connect the positions.",False
carl hilling,same,high,9,SUSPECT,pass,pass,weak,fail,fail,pass,pass,fail,fail,fail,"The critical flaw is that NO evidence actually connects the two positions. The sources confirm that a Carl Hilling worked at Triton in 2010 and a Carl H. Hilling worked at Parma in 2014-2016, but NONE of the sources mention the other district or provide any biographical details that would confirm they are the same person. The reasoning treats the coexistence of two superintendent positions with similar names as proof of a career move, when it actually proves nothing about identity.",True
carlton jenkins,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None identified. This is a strong, well-supported disambiguation with multiple Tier 1 sources explicitly connecting both districts.",False
carol birks,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None identified. This is a well-executed disambiguation with strong, direct evidence from official sources.",False
carol birks,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,pass,weak,pass,pass,pass,"The Morning Call article URL appears incomplete/truncated, making it difficult to verify this source. Additionally, while evidence is strong, the reasoning should explicitly document the search phases attempted (4-phase framework) rather than just presenting the results.",False
carol kelley,same,high,12,QUESTIONABLE,pass,pass,pass,fail,fail,pass,fail,pass,fail,pass,"The prediction is likely correct (the Oak Park announcement is strong evidence), but the confidence rating and evidence quality are flawed. Key issues: (1) Princeton evidence is Tier 3 not Tier 2 and does not independently corroborate the transition, (2) One of the two URLs is irrelevant (about university funding, not the superintendent), (3) High confidence requires 2+ Tier 1-2 independent sources but only 1 Tier 1 source exists, (4) Confidence should be medium, not high.",True
carole schmidt,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning claims to have searched both districts and found evidence at each, but the URLs only include South Bend district sources. The Benton Harbor evidence comes entirely from news articles (ABC57 and South Bend Tribune) rather than from Benton Harbor district sources themselves. While this doesn't invalidate the conclusion given the strong Tier 1 corroboration, it represents a minor gap in the search strategy documentation.",False
carolyn koos,same,high,9,SUSPECT,pass,pass,weak,fail,fail,pass,pass,fail,fail,fail,"The About.me profile is cited as the key evidence connecting the two positions, but there's no demonstration that it actually mentions Bedminster Township. The reasoning claims the profile shows career progression 'including work at Matawan-Aberdeen School District' but Bedminster is never mentioned. This creates a false sense of corroboration - we have evidence of Carolyn Koos at Deer Park (ISBE) and evidence of Carolyn Koos at Bedminster (NJ.com), but no single source actually connecting them as the same person. The About.me profile may not even mention Bedminster at all, making it irrelevant to the disambiguation question. High confidence is unwarranted given the lack of direct connecting evidence.",True
cassandra schug,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None - this is an exemplary disambiguation with strong, diverse evidence.",False
charles coleman,same,high,18,CONFIRMED,pass,pass,pass,pass,pass,pass,fail,pass,pass,pass,"The ICESC website URL appears to be incorrect/misattributed. The reasoning claims this source shows Charles E. Coleman as Superintendent of Battle Creek Public Schools, but the URL points to icesoc.org (Illinois Cooperative Educational Service Center), which is an Illinois organization, not a Michigan Battle Creek source. This raises serious questions about source accuracy and verification.",True
charles cudney,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None - this is a well-reasoned disambiguation with strong, multi-source evidence.",False
charles garland,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,weak,pass,pass,pass,pass,"The reasoning claims the Jasper County website explicitly states his full name and Whiteville service, but there is no explicit verification that the full name ""Charles Kenneth Kenny Garland"" appears on the Jasper County website. The evidence is strong overall, but full name verification at the second district could be more explicitly demonstrated.",False
charles mcnulty,same,high,17,PLAUSIBLE,pass,pass,weak,pass,pass,pass,pass,pass,weak,weak,"The reasoning claims the Reno Gazette Journal article explicitly states that Charles McNulty ""previously served as superintendent for the Black Hawk School District in Wisconsin,"" but the URL provided is about Washoe County (NV) superintendent finalists. This suggests either: (1) Charles McNulty was one of the finalists and his bio mentioned his prior experience, or (2) this is a snippet match error. Additionally, there's a discrepancy between ""Pulaski County School District"" (in the claimed quote) and ""Pulaski County Special School District"" (the target district). These need verification to ensure the correct person/district is being identified.",True
charles sampson,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,None significant - this is a very strong disambiguation with definitive Tier 1 evidence.,False
cheryl atkinson,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified. This is a well-documented case with multiple Tier 1 sources explicitly connecting both positions to the same person.,False
chris ballenger,same,high,8,SUSPECT,pass,pass,weak,fail,fail,pass,weak,fail,fail,fail,The primary Tier 1 source (Laurens County article) contains major factual errors that undermine its reliability: it incorrectly places Bentonville in Virginia (not Arkansas) and claims 13 years at Jennings which conflicts with the 2012-2016 record. The reasoning ignores these conflicts while claiming definitive evidence and high confidence.,True
christine anderson,same,high,5,SUSPECT,pass,weak,fail,fail,fail,weak,weak,fail,fail,fail,"The disambiguator has found evidence that Christine Anderson existed at both districts independently, but has found NO evidence connecting these as the same person. The reasoning conflates 'same name exists at both places' with 'same person worked at both places.' With only Tier 3 evidence (district bios/board docs) and no Tier 1 sources (LinkedIn, hiring announcements, transition news), high confidence is unjustified. This is a classic common-name disambiguation failure.",True
christine barnes,same,high,18,CONFIRMED,pass,pass,pass,pass,pass,pass,weak,pass,weak,pass,"The TSPR source (Texas School Public Relations Association) publishing about a Keokuk, Iowa superintendent hire is suspicious. A Texas PR organization would not typically be the primary source for an Iowa district's hiring announcement. This source may be fabricated or misattributed, which weakens the evidence base. However, the other two sources (Sturgis Journal and Radio Keokuk) are strong, independent, and directly connect the two positions.",True
colleen murray,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,weak,pass,pass,"The timeline shows potential overlap between the Bethany superintendent role (2015-2021) and Haddonfield CAO role (2018-2022). While this could represent a transitional period or dual roles, the reasoning doesn't explicitly address this overlap. The Lumberton start date (July 2022) also appears slightly earlier than the position 2 range (2023-2024), though this could reflect hiring vs. official start date differences.",False
connie hathorn,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"No significant concerns. This is a well-supported disambiguation with a Tier 1 source explicitly connecting both positions. The only minor gap is incomplete documentation of the systematic search phases, but the evidence quality is strong.",False
corey seymour,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"No significant concerns identified. The disambiguation is well-supported with strong Tier 1 evidence (Press-Citizen article explicitly stating the prior district connection) and multiple corroborating Tier 2 sources. The reasoning is coherent, the timeline is plausible and well-documented, and the confidence is appropriately calibrated.",False
craig artist,same,high,18,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,weak,weak,pass,"The prediction correctly identifies the same person (Craig Artist) moving from West Branch, IA to Quincy, MI, but the specific tenure periods claimed (2011-2012 and 2014-2015) contradict the evidence which shows continuous service from 2011 until 2017. The reasoning doesn't address this discrepancy.",True
craig fiegel,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor discrepancy in reported Mascoutah tenure years. Position 2 lists ""2012-2014, 2017-2022"" but reasoning states ""11 years until retirement in 2022"" and sources indicate service from approximately 2011. This suggests a possible gap or data entry error in the position dates, but does not undermine the conclusion that this is the same person.",False
creg williams,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None identified. This is an exemplary disambiguation result with strong, corroborating evidence from multiple Tier 1 sources.",False
crystal edwards,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified. This is a well-supported disambiguation with multiple independent Tier 1 sources explicitly documenting the career transition.,False
cuneyt akdemir,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None significant. This is a well-executed disambiguation with strong multi-source evidence supporting a logical career progression within the Gulen charter network. The uncommon name, multiple independent corroborating sources, and clear timeline all support the high-confidence 'same' prediction.",False
curt rheingans,same,high,7,SUSPECT,pass,pass,weak,fail,fail,fail,pass,fail,fail,fail,"The reasoning conflates two different Iowa school districts. The Tier 1 evidence (Iowa Valley CSD) confirms the superintendent was previously at Creston, Illinois, but Position 2 is at English Valleys CSD, not Iowa Valley CSD. No Tier 1-2 evidence explicitly establishes that the same person moved from Creston to English Valleys. The English Valleys connection relies only on Tier 3-4 evidence (current district page, timeline plausibility), which should not support high confidence.",True
curt rheingans,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,weak,pass,pass,pass,pass,"The reasoning claims full name verification at both districts but glosses over the name variation between ""Curtis Rheingans"" (on Iowa Valley page) and ""Curt Rheingans"" (on Illinois salary database and Creston minutes). While this is almost certainly the same person (formal vs informal name usage), the reasoning should explicitly acknowledge this variation rather than stating the names match identically.",False
dale greimann,same,high,17,PLAUSIBLE,pass,pass,weak,fail,pass,pass,pass,pass,pass,pass,"Evidence misclassification: obituary incorrectly labeled as Tier 1 when guidelines define it as Tier 2. While the actual evidence quality is strong and supports the high-confidence conclusion, this classification error undermines the rigor of the evidence evaluation framework.",False
dale martin,same,high,10,QUESTIONABLE,pass,pass,pass,weak,weak,fail,pass,fail,fail,fail,"Unexplained Oxford, MI finalist position in 2007 creates a critical gap in the career trajectory. The evidence shows Dale Martin at Downers Grove (2003-2007), then as finalist for Oxford (2007), then at Coldwater (2008). The reasoning ignores the Oxford position entirely and claims direct IL-to-MI transition, but doesn't explain what happened with the Oxford opportunity. This could indicate: (a) a different Dale Martin was the Oxford finalist, (b) the same person worked at Oxford briefly before Coldwater, or (c) he didn't get the Oxford job. Without investigating this, the ""same"" conclusion has a significant evidentiary hole.",True
dale slagle,same,high,10,QUESTIONABLE,pass,pass,fail,pass,fail,pass,pass,fail,fail,fail,"No single source explicitly links Dale Slagle to both Aurora and Frontenac districts. Three separate sources show a Dale Slagle at three different locations (Cabool 1985-87, Aurora 2003-09, Frontenac 2009-12), but there is no evidence these are the same person. The reasoning contains a factual error (claiming Missouri DESE for a Kansas district) and ignores the 16-year career gap. This could easily be two different educators named Dale Slagle.",True
dana bedden,same,high,18,CONFIRMED,pass,pass,fail,pass,pass,pass,pass,pass,pass,pass,The reasoning lacks transparency about the search process - no mention of the 4-phase search strategy or how sources were systematically discovered.,False
dana bedden,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified - reasoning appears sound and well-supported.,False
dana bedden,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None. This is an exemplary disambiguation with strong evidence and clear reasoning.,False
dana bedden,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning is strong but would benefit from explicit documentation of the search strategy phases. While the evidence clearly shows comprehensive research across multiple source types, the methodology is not described, making it harder to verify that all appropriate phases were attempted.",False
dana bedden,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns found. This is a well-documented case with multiple independent Tier 1 sources providing explicit confirmation of the same individual holding both superintendent positions.,False
dana bedden,same,high,10,QUESTIONABLE,pass,pass,weak,fail,weak,pass,fail,pass,fail,fail,"The primary concern is the use of unreliable and non-independent sources to justify high confidence. WikiGenius is not a credible source (it is not Wikipedia), the Richmond Magazine link appears to be a generic page rather than specific content, and the personal website (Bedden & Associates) is not independent verification. While the core conclusion may be correct, the evidence quality is overstated and confidence is miscalibrated.",True
dana bedden,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor timeline discrepancy: Position 2 is listed as 2013-2016, but evidence (WTVR article from 2015) and reasoning suggest tenure extended through 2016-2017. This does not affect the identification but shows a slight mismatch between position description and actual tenure.",False
dana bedden,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"Minor timeline discrepancy noted (record says Richmond 2013-2016, evidence shows service until June 2017), but this does not affect the disambiguation conclusion. The core evidence—the Reading Eagle article explicitly stating Bedden previously worked in Richmond before Boyertown—is definitive Tier 1 evidence.",False
dana bedden,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,weak,"Minor concern about citing WikiGenius as a source, which is not a credible news source, but this does not undermine the overall conclusion since multiple reliable Tier 1 sources support the prediction.",False
daniel brenner,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,pass,weak,pass,pass,pass,"The search strategy is not described - we cannot verify if all 4 phases were attempted or if the search was correctly short-circuited. Additionally, an irrelevant URL (UNIS) is included without explanation of its relevance to the Roslyn-Darien transition.",False
daniel lukich,same,high,error,error,,,,,,,,,,,,
daniel lukich,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None. This is a well-executed disambiguation with strong, properly-tiered evidence from multiple independent sources. The CCSD 15 website provides explicit documentation of the career transition from Orange Schools, and the obituary provides independent verification of the Orange Schools tenure. The reasoning properly follows all phases and correctly classifies evidence tiers.",False
daniel lukich,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None significant. This is an excellent disambiguation with strong, multi-source evidence.",False
daniel nerad,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified. This is a well-supported disambiguation with multiple Tier 1 sources confirming the same person's career trajectory.,False
darin powell,same,high,14,PLAUSIBLE,pass,pass,pass,pass,fail,pass,pass,weak,fail,weak,"The critical flaw is the missing corroborative link. While sources confirm Darin Powell was superintendent at Bowling Green (2012-2014) and that a Darin Powell is superintendent at Western CUSD 12 (2022-2023), NO SOURCE explicitly connects these two positions to the same person. The 2019 Hannibal article discusses his Bowling Green tenure but doesn't mention Western CUSD 12. The Illinois sources confirm his current role but don't reference his Missouri career. The reasoning assumes continuity without a source that explicitly states or implies the connection.",True
